depot_stop_mean_km,depot_stop_p50_km,depot_stop_p90_km,nearest_neighbor_mean_km,active_clusters_mean,community_size_mean,community_pairwise_mean_km,community_bbox_width_km,community_bbox_height_km,community_bbox_area_km2,community_dispersion_km,variant,instance_id
17.78426782035572,15.94813756414355,28.83412495557925,0.09327301817781752,14.0,128.57142857142858,1.3719252504905601,3.2992803709847585,3.305968693324498,12.17430662318085,0.9820254451872662,A_compact_control,instance_000000
18.78103725279675,18.391955490925604,29.90473502483248,0.08680010456870137,14.0,128.57142857142858,1.2678619021594464,3.2414872305733815,3.097486768450056,10.646170323219328,0.9095747769411465,A_compact_control,instance_000001
18.23296385398084,18.144668742017167,33.34950008397581,0.08487968649984368,15.0,120.0,1.1708412855514714,3.052931467692057,2.7213701883951824,9.53991347028835,0.8431101775001383,A_compact_control,instance_000002
18.51231036255585,16.18065512368842,31.246958223631758,0.08679347635626723,15.0,120.0,1.1598840308077112,2.878371810913086,2.7966384887695312,9.0147216218611,0.8383826847388806,A_compact_control,instance_000003
17.6921653233495,16.693856001143075,28.88101260894431,0.08626260600395255,14.0,128.57142857142858,1.2069024529621983,3.221738747188023,2.7614312853131975,9.429044183221517,0.8707470298766661,A_compact_control,instance_000004
18.972282183618823,18.194147699371904,33.85723660280881,0.11301686206337663,14.0,128.57142857142858,1.9470594918669093,4.491570745195661,4.04869760785784,18.801526769646962,1.4122770550702022,B_amazon_balanced,instance_000000
18.83982976430399,17.17791487185575,29.331772203970527,0.11461623577026918,14.0,128.57142857142858,1.8160616388406954,4.381420407976423,4.151292255946568,18.495413042764994,1.3084874494504872,B_amazon_balanced,instance_000001
17.977331650682395,15.514759291255324,33.8542179135768,0.1063698103371626,14.0,128.57142857142858,1.7636244136638166,4.4267924172537665,3.844756535121373,18.351044015169983,1.274477873999166,B_amazon_balanced,instance_000002
15.860989865699041,15.595019153524914,24.09113539633003,0.10583310789985799,15.0,120.0,1.701040915929112,4.118998209635417,3.663935089111328,15.936937925606617,1.237226616860503,B_amazon_balanced,instance_000003
19.02910123153792,19.29767545201142,33.02366063135675,0.11288544730492504,14.0,128.57142857142858,1.8754134136333858,4.6839814867292136,4.1096809932163785,20.21636399250253,1.354719075282457,B_amazon_balanced,instance_000004
13.933281765137338,13.745127365896884,22.604860049577848,0.11342521380826823,14.0,128.57142857142858,1.9590953965428088,5.233299800327846,3.999534470694406,21.692427916064585,1.409713440325611,C_corridor_elongated,instance_000000
17.11192535646894,15.882132123484663,29.9412079884799,0.10986316333557908,15.0,120.0,1.7451738670819388,4.568936538696289,3.6791460673014322,18.04874287293448,1.245412817354772,C_corridor_elongated,instance_000001
16.40263955487904,14.2411795343478,28.801348250624446,0.1069267257816491,15.0,120.0,1.7367549193108198,4.429949951171875,3.7500402450561525,17.69903611134408,1.2538617651624635,C_corridor_elongated,instance_000002
15.875733402236047,14.128363709397723,29.082484418994223,0.10978488775124776,14.0,128.57142857142858,1.8334726135873365,4.722715105329241,3.957521711077009,19.40969752716202,1.32267392479476,C_corridor_elongated,instance_000003
16.645341575148976,16.020100625843845,33.83837816039527,0.1157611189251282,14.0,128.57142857142858,1.8981283728145297,4.391238348824637,4.044857501983643,17.885717766072567,1.3803285050547953,C_corridor_elongated,instance_000004
14.305302182778412,11.044290461835734,31.50641078142351,0.12296950982350681,14.0,128.57142857142858,1.918787066816744,4.354746546064105,4.487765175955636,20.516655141945062,1.4111265893301184,D_wide_community,instance_000000
16.05846682551103,15.650541905885824,24.943358747126222,0.12579373506689892,14.0,128.57142857142858,1.8625913624124752,4.30240535736084,4.247617449079241,20.272760959393054,1.3761127928041061,D_wide_community,instance_000001
15.830569770174579,16.663380039381735,24.754264328524943,0.12030654920380389,15.0,120.0,1.8045683675041404,4.435430908203125,4.202954737345378,19.511902248163825,1.310305620998002,D_wide_community,instance_000002
14.622146390317784,12.823001215172104,31.190396656129018,0.13218576692670453,14.0,128.57142857142858,2.083000969722807,4.77834415435791,4.6558268410818915,23.356298511072445,1.5332216257952547,D_wide_community,instance_000003
18.55844723898826,17.378255722875625,31.68582263306387,0.1272403591289714,14.0,128.57142857142858,2.0137046746055502,4.403530393327985,4.472404479980469,21.17194484812457,1.4897381502257552,D_wide_community,instance_000004
